Minutes              Distance
-------------------------------
1.0                  2.5
2.0                  5.0
3.0                  7.5
4.0                  10.0
5.0                  12.5
6.0                  15.0
7.0                  17.5
8.0                  20.0
9.0                  22.5
10.0                 25.0
11.0                 27.5
12.0                 30.0
13.0                 32.5
14.0                 35.0
15.0                 37.5
16.0                 40.0
17.0                 42.5
18.0                 45.0
19.0                 47.5
20.0                 50.0
21.0                 52.5
22.0                 55.0
23.0                 57.5
24.0                 60.0
25.0                 62.5
26.0                 65.0
27.0                 67.5
28.0                 70.0
29.0                 72.5
30.0                 75.0
31.0                 77.5
32.0                 80.0
33.0                 82.5
34.0                 85.0
35.0                 87.5
36.0                 90.0
37.0                 92.5
38.0                 95.0
39.0                 97.5
40.0                 100.0
41.0                 102.5
42.0                 105.0
43.0                 107.5
44.0                 110.0
45.0                 112.5
46.0                 115.0
47.0                 117.5
48.0                 120.0
49.0                 122.5
50.0                 125.0
51.0                 127.5
52.0                 130.0
53.0                 132.5
54.0                 135.0
55.0                 137.5
56.0                 140.0
57.0                 142.5
58.0                 145.0
59.0                 147.5
60.0                 150.0
